"Reporting.Area","MMWR.YEAR","MMWR.WEEK","All.causes.by.age..years..All.Ages","All.causes.by.age..years..All.Ages.flag","All.causes.by.age..years..GE.65","All.causes.by.age..years..GE.65.flag","All.causes.by.age..years..45.ÛÒ64","All.causes.by.age..years..45.ÛÒ64.flag","All.causes.by.age..years..25.ÛÒ44","All.causes.by.age..years..25.ÛÒ44.flag","All.causes.by.age..years..1.ÛÒ24","All.causes.by.age..years..1.ÛÒ24.flag","All.causes.by.age..years..LT.1","All.causes.by.age..years..LT.1.flag","Total","Location.1"
"3535","Los Angeles CA",2014,27,194,"",132,"",47,"",10,"",1,"",4,"",16,"Los Angeles CA
 (34.053492307000454 118.24531669099969)"
"3536","Cleveland OH",2014,27,245,"",166,"",55,"",17,"",3,"",4,"",19,"Cleveland OH
 (41.50475289400049 81.69071765199965)"
"3537","Mobile AL",2014,27,NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"Mobile AL
 (30.68639351000047 88.05323763099966)"
"3538","New York City NY",2014,27,951,"",654,"",218,"",42,"",23,"",13,"",34,"New York City NY
 (40.71455220000047 74.00711891899965)"
"3539","Fall River MA",2014,27,22,"",17,"",4,"",NA,"",1,"",NA,"",1,"Fall River MA
 (41.69735122300045 71.14364572399967)"
"3540","Memphis TN",2014,27,155,"",88,"",51,"",10,"",3,"",3,"",16,"Memphis TN
 (35.14976284800048 90.04924570399965)"
"3541","Chattanooga TN",2014,27,76,"",59,"",15,"",1,"",1,"",NA,"",7,"Chattanooga TN
 (35.04644289300046 85.30945730199966)"
"3542","Norfolk VA",2014,27,31,"",15,"",7,"",5,"",1,"",3,"",NA,"Norfolk VA
 (36.84682012200045 76.28505728799968)"
"3543","Youngstown OH",2014,27,43,"",30,"",10,"",3,"",NA,"",NA,"",1,"Youngstown OH
 (41.09810084600048 80.65078761499967)"
"3544","Syracuse NY",2014,27,86,"",67,"",16,"",3,"",NA,"",NA,"",3,"Syracuse NY
 (43.0499922730005 76.14738815999965)"
"3545","Bridgeport CT",2014,27,35,"",31,"",2,"",NA,"",NA,"",2,"",2,"Bridgeport CT
 (41.1818813860005 73.19126911399962)"
"3546","Paterson NJ",2014,27,11,"",6,"",3,"",2,"",NA,"",NA,"",1,"Paterson NJ
 (40.91661430200048 74.17163854999967)"
"3547","Milwaukee WI",2014,27,29,"",18,"",9,"",1,"",NA,"",1,"",3,"Milwaukee WI
 (43.04181028200048 87.90683717599967)"
"3548","Rochester NY",2014,27,147,"",113,"",19,"",5,"",5,"",5,"",10,"Rochester NY
 (43.155804340000486 77.61631886899966)"
"3549","Kansas City MO",2014,27,88,"",58,"",25,"",2,"",2,"",NA,"",2,"Kansas City MO
 (39.1029502720005 94.5830775179997)"
"3550","Waterbury CT",2014,27,15,"",9,"",3,"",3,"",NA,"",NA,"",NA,"Waterbury CT
 (41.55407260800047 73.04616830899965)"
"3551","Somerville MA",2014,27,1,"",NA,"",NA,"",1,"",NA,"",NA,"",NA,"Somerville MA
 (42.386683880000476 71.09825622299962)"
"3552","New Haven CT",2014,27,32,"",22,"",8,"",1,"",NA,"",1,"",4,"New Haven CT
 (41.307621422000466 72.92461752399964)"
"3553","Salt Lake City UT",2014,27,123,"",81,"",25,"",8,"",5,"",4,"",4,"Salt Lake City UT
 (40.66726905100046 111.92357267799969)"
"3554","Pasadena CA",2014,27,16,"",16,"",NA,"",NA,"",NA,"",NA,"",2,"Pasadena CA
 (34.14745120700047 118.14426554199969)"
"3555","Trenton NJ",2014,27,8,"",4,"",3,"",NA,"",1,"",NA,"",NA,"Trenton NJ
 (40.21788039500046 74.75939751899966)"
"3556","Lansing MI",2014,27,39,"",24,"",11,"",3,"",1,"",NA,"",2,"Lansing MI
 (42.73194420800047 84.55224806999968)"
"3557","New England",2014,28,519,"",359,"",115,"",27,"",5,"",10,"",43,""
"3558","Mid. Atlantic",2014,28,1622,"",1166,"",331,"",87,"",27,"",11,"",66,""
"3559","E.N. Central",2014,28,1856,"",1246,"",414,"",113,"",50,"",33,"",105,""
"3560","W.N. Central",2014,28,737,"",443,"",223,"",41,"",15,"",15,"",40,""
"3561","S. Atlantic",2014,28,1216,"",721,"",335,"",106,"",31,"",23,"",68,""
"3562","E.S. Central",2014,28,1000,"",650,"",256,"",60,"",16,"",18,"",50,""
"3563","W.S. Central",2014,28,1474,"",944,"",390,"",82,"",32,"",26,"",68,""
"3564","Mountain",2014,28,1165,"",802,"",249,"",77,"",22,"",15,"",57,""
"3565","Pacific",2014,28,1864,"",1313,"",402,"",92,"",31,"",26,"",113,""
"3566","Totalå¦",2014,28,11453,"",7644,"",2715,"",685,"",229,"",177,"",610,""
"3567","Duluth MN",2014,28,28,"",24,"",3,"",1,"",NA,"",NA,"",2,"Duluth MN
 (46.787955844000464 92.09984801699966)"
"3568","Camden NJ",2014,28,25,"",18,"",5,"",2,"",NA,"",NA,"",2,"Camden NJ
 (39.94525309400046 75.11912817799964)"
"3569","Knoxville TN",2014,28,101,"",64,"",26,"",7,"",2,"",2,"",7,"Knoxville TN
 (35.96049444300047 83.92090839299965)"
"3570","Savannah GA",2014,28,74,"",48,"",20,"",4,"",1,"",1,"",3,"Savannah GA
 (32.08091366600047 81.09118590699967)"
"3571","Pueblo CO",2014,28,36,"",22,"",13,"",1,"",NA,"",NA,"",2,"Pueblo CO
 (38.263863080000476 104.61236614299969)"
"3572","Syracuse NY",2014,28,85,"",70,"",13,"",1,"",1,"",NA,"",5,"Syracuse NY
 (43.0499922730005 76.14738815999965)"
"3573","Long Beach CA",2014,28,66,"",48,"",12,"",NA,"",3,"",3,"",9,"Long Beach CA
 (33.76672070300049 118.19239725799969)"
"3574","Glendale CA",2014,28,24,"",18,"",4,"",1,"",NA,"",1,"",1,"Glendale CA
 (34.146330203000446 118.24863950799971)"
"3575","Boston MA",2014,28,136,"",91,"",33,"",8,"",2,"",2,"",11,"Boston MA
 (42.35866324500046 71.05673887699965)"
"3576","Scranton PA",2014,28,20,"",14,"",3,"",2,"",1,"",NA,"",NA,"Scranton PA
 (41.41015086800047 75.66077859599966)"
"3577","Milwaukee WI",2014,28,57,"",23,"",19,"",11,"",3,"",1,"",NA,"Milwaukee WI
 (43.04181028200048 87.90683717599967)"
"3578","Fort Worth TX",2014,28,NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"Fort Worth TX
 (32.75095254800044 97.33085951799967)"
"3579","Fort Wayne IN",2014,28,70,"",55,"",9,"",3,"",2,"",1,"",10,"Fort Wayne IN
 (41.080263035000485 85.13830990099967)"
"3580","Trenton NJ",2014,28,26,"",16,"",9,"",1,"",NA,"",NA,"",NA,"Trenton NJ
 (40.21788039500046 74.75939751899966)"
"3581","Atlanta GA",2014,28,102,"",53,"",34,"",14,"",1,"",NA,"",4,"Atlanta GA
 (33.748311225000464 84.39110931499965)"
"3582","Tulsa OK",2014,28,105,"",77,"",24,"",2,"",1,"",1,"",7,"Tulsa OK
 (36.149743157000444 95.99332745899966)"
"3583","St. Petersburg FL",2014,28,79,"",56,"",19,"",1,"",NA,"",3,"",4,"St. Petersburg FL
 (27.771193346000473 82.63875661699967)"
"3584","Pasadena CA",2014,28,22,"",16,"",5,"",1,"",NA,"",NA,"",1,"Pasadena CA
 (34.14745120700047 118.14426554199969)"
"3585","Springfield MA",2014,28,29,"",20,"",8,"",1,"",NA,"",NA,"",2,"Springfield MA
 (42.10125212200046 72.58928991799962)"
"3586","Detroit MI",2014,28,99,"",55,"",24,"",10,"",4,"",6,"",5,"Detroit MI
 (42.33168322200049 83.04799903299966)"
"3587","Paterson NJ",2014,28,17,"",9,"",5,"",2,"",NA,"",1,"",NA,"Paterson NJ
 (40.91661430200048 74.17163854999967)"
"3588","Omaha NE",2014,28,102,"",65,"",29,"",5,"",1,"",2,"",6,"Omaha NE
 (41.260691100000486 95.94058667399969)"
"3589","Phoenix AZ",2014,28,152,"",80,"",52,"",13,"",3,"",4,"",8,"Phoenix AZ
 (33.44825282000045 112.07579699399969)"
"3590","Honolulu HI",2014,28,88,"",64,"",19,"",2,"",2,"",1,"",8,"Honolulu HI
 (21.304853205000427 157.85774691599974)"
"3591","Miami FL",2014,28,66,"",51,"",11,"",3,"",1,"",NA,"",2,"Miami FL
 (25.774810115000435 80.19772778299966)"
"3592","Corpus Christi TX",2014,28,59,"",34,"",20,"",2,"",1,"",2,"",7,"Corpus Christi TX
 (27.796413705000475 97.40355953599965)"
"3593","New Bedford MA",2014,28,21,"",14,"",7,"",NA,"",NA,"",NA,"",1,"New Bedford MA
 (41.637670036000486 70.93086932199964)"
"3594","Cincinnati OH",2014,28,75,"",42,"",22,"",9,"",NA,"",2,"",2,"Cincinnati OH
 (39.1071305910005 84.50412975199964)"
"3595","Somerville MA",2014,28,5,"",2,"",2,"",1,"",NA,"",NA,"",NA,"Somerville MA
 (42.386683880000476 71.09825622299962)"
"3596","Grand Rapids MI",2014,28,55,"",42,"",11,"",2,"",NA,"",NA,"",3,"Grand Rapids MI
 (42.96641270800046 85.67117986599965)"
"3597","El Paso TX",2014,28,86,"",59,"",18,"",7,"",1,"",1,"",4,"El Paso TX
 (31.75916316000047 106.4874888869997)"
"3598","Los Angeles CA",2014,28,251,"",164,"",63,"",17,"",2,"",5,"",15,"Los Angeles CA
 (34.053492307000454 118.24531669099969)"
"3599","Philadelphia PA",2014,28,NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"Philadelphia PA
 (39.95228281700048 75.16244984999963)"
"3600","Evansville IN",2014,28,42,"",36,"",6,"",NA,"",NA,"",NA,"",3,"Evansville IN
 (37.977082544000496 87.56404663099966)"
"3601","Peoria IL",2014,28,72,"",50,"",13,"",7,"",NA,"",2,"",9,"Peoria IL
 (40.69214105000049 89.58775824399964)"
"3602","Worcester MA",2014,28,67,"",47,"",15,"",2,"",NA,"",3,"",10,"Worcester MA
 (42.2634136260005 71.80218873199965)"
"3603","Indianapolis IN",2014,28,158,"",100,"",41,"",12,"",5,"",NA,"",10,"Indianapolis IN
 (39.76691072200049 86.14995579899966)"
"3604","Buffalo NY",2014,28,79,"",48,"",20,"",4,"",4,"",3,"",4,"Buffalo NY
 (42.88544137700046 78.87845781999965)"
"3605","Des Moines IA",2014,28,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"Des Moines IA
 (41.589761626000495 93.61564652299967)"
"3606","Tampa FL",2014,28,115,"",73,"",33,"",7,"",NA,"",2,"",9,"Tampa FL
 (27.94653446400048 82.45926644299965)"
"3607","Shreveport LA",2014,28,82,"",54,"",20,"",5,"",2,"",1,"",4,"Shreveport LA
 (32.514612729000476 93.74726848099965)"
"3608","Tacoma WA",2014,28,153,"",101,"",40,"",6,"",4,"",2,"",10,"Tacoma WA
 (47.255128716000456 122.44163694999969)"
"3609","Pittsburgh PAå¤",2014,28,41,"",33,"",5,"",3,"",NA,"",NA,"",1,"Pittsburgh PA
 (40.438343044000476 79.99746553899968)"
"3610","Mobile AL",2014,28,96,"",70,"",23,"",3,"",NA,"",NA,"",5,"Mobile AL
 (30.68639351000047 88.05323763099966)"
"3611","Rochester NY",2014,28,166,"",129,"",30,"",7,"",NA,"",NA,"",7,"Rochester NY
 (43.155804340000486 77.61631886899966)"
"3612","Charlotte NC",2014,28,155,"",91,"",36,"",17,"",8,"",3,"",9,"Charlotte NC
 (35.22286035400049 80.83795956899968)"
"3613","Toledo OH",2014,28,98,"",69,"",24,"",1,"",3,"",1,"",3,"Toledo OH
 (41.65381070900048 83.53625660699964)"
"3614","Austin TX",2014,28,105,"",69,"",25,"",5,"",2,"",4,"",7,"Austin TX
 (30.267593529000465 97.74298706799965)"
"3615","Fresno CA",2014,28,127,"",84,"",31,"",9,"",3,"",NA,"",12,"Fresno CA
 (36.74068202600046 119.78572815899969)"
"3616","Salt Lake City UT",2014,28,141,"",101,"",23,"",12,"",3,"",2,"",4,"Salt Lake City UT
 (40.66726905100046 111.92357267799969)"
"3617","Baton Rouge LA",2014,28,111,"",70,"",32,"",4,"",3,"",2,"",4,"Baton Rouge LA
 (30.44334106600047 91.18698893099969)"
"3618","Little Rock AR",2014,28,45,"",29,"",12,"",4,"",NA,"",NA,"",1,"Little Rock AR
 (34.74865329300047 92.27448794899965)"
"3619","New Orleans LA",2014,28,59,"",40,"",16,"",3,"",NA,"",NA,"",2,"New Orleans LA
 (29.95370345100048 90.07774868499968)"
"3620","Washington D.C.",2014,28,130,"",71,"",38,"",13,"",4,"",4,"",8,"Washington D.C.
 (38.89037038100048 77.03195864199967)"
"3621","Houston TX",2014,28,329,"",200,"",97,"",16,"",12,"",4,"",14,"Houston TX
 (29.760453065000434 95.36977674999969)"
"3622","Allentown PA",2014,28,33,"",24,"",6,"",3,"",NA,"",NA,"",2,"Allentown PA
 (40.602603640000495 75.47025702899964)"
"3623","Erie PA",2014,28,50,"",38,"",9,"",3,"",NA,"",NA,"",1,"Erie PA
 (42.12944247200045 80.08523881899964)"
"3624","Wichita KS",2014,28,104,"",56,"",38,"",5,"",3,"",2,"",4,"Wichita KS
 (37.686983657000496 97.33557577399966)"
"3625","Columbus OH",2014,28,200,"",135,"",51,"",4,"",4,"",6,"",8,"Columbus OH
 (39.961992230000476 83.00274798399965)"
"3626","Lexington KY",2014,28,89,"",58,"",22,"",7,"",1,"",1,"",NA,"Lexington KY
 (38.04859009900048 84.50031565799964)"
"3627","Elizabeth NJ",2014,28,27,"",15,"",8,"",4,"",NA,"",NA,"",2,"Elizabeth NJ
 (40.6638122490005 74.21143642799967)"
"3628","Lansing MI",2014,28,50,"",35,"",9,"",4,"",1,"",1,"",5,"Lansing MI
 (42.73194420800047 84.55224806999968)"
"3629","San Jose CA",2014,28,212,"",150,"",47,"",9,"",2,"",4,"",12,"San Jose CA
 (37.33858362500047 121.8855697949997)"
"3630","Schenectady NY",2014,28,23,"",14,"",6,"",3,"",NA,"",NA,"",2,"Schenectady NY
 (42.8122500820005 73.94101987199963)"
"3631","Utica NY",2014,28,11,"",8,"",3,"",NA,"",NA,"",NA,"",1,"Utica NY
 (43.09589091300046 75.24257707799967)"
"3632","Memphis TN",2014,28,181,"",109,"",59,"",9,"",3,"",1,"",15,"Memphis TN
 (35.14976284800048 90.04924570399965)"
"3633","Lynn MA",2014,28,14,"",10,"",4,"",NA,"",NA,"",NA,"",1,"Lynn MA
 (42.46370266800045 70.95021669199963)"
"3634","Bridgeport CT",2014,28,24,"",13,"",8,"",2,"",1,"",NA,"",NA,"Bridgeport CT
 (41.1818813860005 73.19126911399962)"
"3635","Colorado Springs CO",2014,28,96,"",65,"",19,"",8,"",4,"",NA,"",3,"Colorado Springs CO
 (38.83343141300048 104.82180632899968)"
"3636","Dallas TX",2014,28,228,"",132,"",64,"",20,"",5,"",7,"",6,"Dallas TX
 (32.778151412000454 96.79539918599966)"
"3637","Hartford CT",2014,28,49,"",31,"",12,"",2,"",1,"",3,"",3,"Hartford CT
 (41.76349046400048 72.67401728199962)"
"3638","Sacramento CA",2014,28,228,"",176,"",41,"",8,"",2,"",1,"",18,"Sacramento CA
 (38.5793341750005 121.49089596399972)"
"3639","Waterbury CT",2014,28,29,"",23,"",5,"",NA,"",NA,"",1,"",2,"Waterbury CT
 (41.55407260800047 73.04616830899965)"
"3640","Kansas City KS",2014,28,22,"",12,"",6,"",2,"",2,"",NA,"",1,"Kansas City KS
 (39.113521653000475 94.6268190079997)"
"3641","Fall River MA",2014,28,22,"",14,"",4,"",1,"",NA,"",NA,"",2,"Fall River MA
 (41.69735122300045 71.14364572399967)"
"3642","Boise ID",2014,28,60,"",41,"",11,"",4,"",2,"",2,"",3,"Boise ID
 (43.60698392100045 116.1934057949997)"
"3643","Providence RI",2014,28,41,"",38,"",1,"",2,"",NA,"",NA,"",NA,"Providence RI
 (41.823872836000476 71.41198998599964)"
"3644","Gary IN",2014,28,10,"",4,"",2,"",1,"",3,"",NA,"",NA,"Gary IN
 (41.6037138850005 87.33716612199964)"
"3645","Jersey City NJ",2014,28,21,"",12,"",5,"",3,"",1,"",NA,"",2,"Jersey City NJ
 (40.71748199500047 74.04384854999967)"
"3646","Albany NY",2014,28,40,"",36,"",2,"",2,"",NA,"",NA,"",1,"Albany NY
 (42.65155347600046 73.75520562899965)"
"3647","Cleveland OH",2014,28,225,"",164,"",42,"",12,"",3,"",4,"",12,"Cleveland OH
 (41.50475289400049 81.69071765199965)"
"3648","Wilmington DE",2014,28,11,"",7,"",2,"",1,"",1,"",NA,"",NA,"Wilmington DE
 (39.740234398000496 75.55083980499967)"
"3649","Lowell MA",2014,28,28,"",21,"",3,"",4,"",NA,"",NA,"",3,"Lowell MA
 (42.64588146300048 71.31283694999962)"
"3650","Las Vegas NV",2014,28,302,"",208,"",64,"",18,"",8,"",4,"",24,"Las Vegas NV
 (36.17191313400048 115.13996564999968)"
"3651","South Bend IN",2014,28,48,"",41,"",4,"",1,"",1,"",1,"",4,"South Bend IN
 (41.67905339900045 86.25403946499966)"
"3652","Baltimore MD",2014,28,169,"",89,"",55,"",16,"",5,"",4,"",14,"Baltimore MD
 (39.29058224000045 76.60925970899967)"
"3653","San Antonio TX",2014,28,265,"",180,"",62,"",14,"",5,"",4,"",12,"San Antonio TX
 (29.42458058800048 98.49460914499969)"
"3654","Tucson AZ",2014,28,141,"",112,"",19,"",7,"",1,"",2,"",NA,"Tucson AZ
 (32.22155278400044 110.96975897999971)"
"3655","San Francisco CA",2014,28,109,"",68,"",28,"",9,"",2,"",2,"",6,"San Francisco CA
 (37.777123997000444 122.4196366869997)"
"3656","Youngstown OH",2014,28,75,"",56,"",16,"",1,"",1,"",1,"",1,"Youngstown OH
 (41.09810084600048 80.65078761499967)"
"3657","Canton OH",2014,28,22,"",15,"",6,"",1,"",NA,"",NA,"",NA,"Canton OH
 (40.79781020000047 81.37156644799967)"
"3658","Nashville TN",2014,28,165,"",107,"",39,"",10,"",4,"",5,"",6,"Nashville TN
 (36.16784000400048 86.77815577199965)"
"3659","Spokane WA",2014,28,62,"",46,"",13,"",2,"",NA,"",1,"",3,"Spokane WA
 (47.65725655300048 117.41227666799972)"
"3660","Jacksonville FL",2014,28,174,"",112,"",49,"",8,"",3,"",2,"",11,"Jacksonville FL
 (30.33147289700048 81.65621662999968)"
"3661","St. Louis MO",2014,28,192,"",101,"",68,"",15,"",5,"",3,"",7,"St. Louis MO
 (38.6277517260005 90.19955850799965)"
"3662","Santa Cruz CA",2014,28,35,"",29,"",5,"",1,"",NA,"",NA,"",1,"Santa Cruz CA
 (36.974020590000464 122.03094750099973)"
"3663","Berkeley CA",2014,28,16,"",14,"",2,"",NA,"",NA,"",NA,"",1,"Berkeley CA
 (37.86988150300044 122.2705386769997)"
"3664","Richmond VA",2014,28,81,"",43,"",24,"",8,"",3,"",3,"",4,"Richmond VA
 (37.540703789000474 77.43364879599966)"
"3665","Rockford IL",2014,28,62,"",44,"",11,"",4,"",2,"",1,"",5,"Rockford IL
 (42.2669016910005 89.07834897499964)"
"3666","Yonkers NY",2014,28,20,"",13,"",6,"",1,"",NA,"",NA,"",NA,"Yonkers NY
 (40.93299168200048 73.89873881399967)"
"3667","New York City NY",2014,28,869,"",627,"",180,"",37,"",18,"",7,"",33,"New York City NY
 (40.71455220000047 74.00711891899965)"
"3668","Montgomery AL",2014,28,50,"",30,"",13,"",5,"",1,"",1,"",1,"Montgomery AL
 (32.38012350200046 86.30062589499965)"
"3669","San Diego CA",2014,28,184,"",139,"",29,"",9,"",3,"",4,"",5,"San Diego CA
 (32.71569228000044 117.16171662299968)"
"3670","Dayton OH",2014,28,123,"",87,"",25,"",7,"",2,"",2,"",6,"Dayton OH
 (39.759112821000485 84.19443785699968)"
"3671","Albuquerque NM",2014,28,133,"",103,"",20,"",9,"",1,"",NA,"",10,"Albuquerque NM
 (35.08423100300047 106.64904746099967)"
"3672","Seattle WA",2014,28,140,"",91,"",32,"",12,"",3,"",2,"",8,"Seattle WA
 (47.60356894300048 122.32944721899969)"
"3673","Newark NJ",2014,28,35,"",20,"",9,"",5,"",1,"",NA,"",2,"Newark NJ
 (40.73197019100047 74.17420658799966)"
"3674","St. Paul MN",2014,28,48,"",36,"",10,"",2,"",NA,"",NA,"",2,"St. Paul MN
 (44.94382372600046 93.09331667699968)"
"3675","New Haven CT",2014,28,40,"",22,"",12,"",4,"",1,"",1,"",5,"New Haven CT
 (41.307621422000466 72.92461752399964)"
"3676","Chattanooga TN",2014,28,112,"",76,"",27,"",6,"",1,"",2,"",5,"Chattanooga TN
 (35.04644289300046 85.30945730199966)"
"3677","Minneapolis MN",2014,28,82,"",40,"",33,"",5,"",1,"",3,"",13,"Minneapolis MN
 (44.9790304010005 93.26492855899966)"
"3678","Cambridge MA",2014,28,14,"",13,"",1,"",NA,"",NA,"",NA,"",3,"Cambridge MA
 (42.366791640000486 71.10600946299962)"
"3679","Chicago IL",2014,28,264,"",159,"",66,"",21,"",16,"",2,"",15,"Chicago IL
 (41.88425074000048 87.63244574499964)"
"3680","Norfolk VA",2014,28,60,"",27,"",14,"",14,"",4,"",1,"",NA,"Norfolk VA
 (36.84682012200045 76.28505728799968)"
"3681","Birmingham AL",2014,28,206,"",136,"",47,"",13,"",4,"",6,"",11,"Birmingham AL
 (33.52068040300048 86.81175909799964)"
"3682","Denver CO",2014,28,68,"",45,"",17,"",5,"",NA,"",1,"",2,"Denver CO
 (39.74001109000045 104.9922972059997)"
"3683","Portland OR",2014,28,147,"",105,"",31,"",6,"",5,"",NA,"",3,"Portland OR
 (45.51178871100046 122.6756275729997)"
"3684","Kansas City MO",2014,28,113,"",77,"",25,"",5,"",1,"",5,"",4,"Kansas City MO
 (39.1029502720005 94.5830775179997)"
"3685","Ogden UT",2014,28,36,"",25,"",11,"",NA,"",NA,"",NA,"",1,"Ogden UT
 (41.222362586000486 111.97047620299969)"
"3686","Lincoln NC",2014,28,46,"",32,"",11,"",1,"",2,"",NA,"",1,"Lincoln NC
 (35.486046210000495 81.22400479399965)"
"3687","Akron OH",2014,28,51,"",34,"",13,"",2,"",NA,"",2,"",4,"Akron OH
 (41.084193248000474 81.51405901999965)"
"3688","Reading PA",2014,28,34,"",22,"",7,"",4,"",1,"",NA,"",1,"Reading PA
 (40.3366219720005 75.92783660599963)"
"3689","New England",2014,29,553,"",363,"",128,"",31,"",21,"",10,"",39,""
"3690","Mid. Atlantic",2014,29,1695,"",1203,"",361,"",82,"",31,"",18,"",69,""
"3691","E.N. Central",2014,29,2135,"",1380,"",540,"",133,"",41,"",41,"",127,""
"3692","W.N. Central",2014,29,636,"",380,"",168,"",50,"",20,"",16,"",31,""
"3693","S. Atlantic",2014,29,936,"",585,"",250,"",60,"",26,"",15,"",50,""
"3694","E.S. Central",2014,29,857,"",540,"",232,"",61,"",12,"",12,"",33,""
"3695","W.S. Central",2014,29,1598,"",993,"",363,"",168,"",44,"",30,"",85,""
"3696","Mountain",2014,29,1095,"",711,"",266,"",79,"",13,"",25,"",48,""
"3697","Pacific",2014,29,1657,"",1121,"",362,"",86,"",40,"",21,"",133,""
"3698","Totalå¦",2014,29,11162,"",7276,"",2670,"",750,"",248,"",188,"",615,""
"3699","Los Angeles CA",2014,29,244,"",160,"",63,"",15,"",6,"",NA,"",26,"Los Angeles CA
 (34.053492307000454 118.24531669099969)"
"3700","Houston TX",2014,29,425,"",261,"",113,"",33,"",12,"",6,"",22,"Houston TX
 (29.760453065000434 95.36977674999969)"
"3701","Somerville MA",2014,29,1,"",1,"",NA,"",NA,"",NA,"",NA,"",NA,"Somerville MA
 (42.386683880000476 71.09825622299962)"
"3702","Kansas City MO",2014,29,107,"",68,"",25,"",9,"",NA,"",4,"",4,"Kansas City MO
 (39.1029502720005 94.5830775179997)"
"3703","Nashville TN",2014,29,171,"",103,"",54,"",11,"",3,"",NA,"",4,"Nashville TN
 (36.16784000400048 86.77815577199965)"
"3704","Peoria IL",2014,29,46,"",27,"",15,"",2,"",1,"",1,"",4,"Peoria IL
 (40.69214105000049 89.58775824399964)"
"3705","Worcester MA",2014,29,53,"",34,"",11,"",3,"",1,"",4,"",3,"Worcester MA
 (42.2634136260005 71.80218873199965)"
"3706","Elizabeth NJ",2014,29,22,"",15,"",5,"",1,"",NA,"",1,"",1,"Elizabeth NJ
 (40.6638122490005 74.21143642799967)"
"3707","New Orleans LA",2014,29,36,"",25,"",9,"",1,"",NA,"",1,"",1,"New Orleans LA
 (29.95370345100048 90.07774868499968)"
"3708","Tacoma WA",2014,29,104,"",78,"",21,"",4,"",1,"",NA,"",8,"Tacoma WA
 (47.255128716000456 122.44163694999969)"
"3709","Hartford CT",2014,29,53,"",40,"",10,"",3,"",NA,"",NA,"",4,"Hartford CT
 (41.76349046400048 72.67401728199962)"
"3710","Minneapolis MN",2014,29,75,"",32,"",31,"",5,"",3,"",4,"",8,"Minneapolis MN
 (44.9790304010005 93.26492855899966)"
"3711","Waterbury CT",2014,29,15,"",11,"",2,"",1,"",1,"",NA,"",1,"Waterbury CT
 (41.55407260800047 73.04616830899965)"
"3712","Norfolk VA",2014,29,40,"",22,"",14,"",1,"",3,"",NA,"",2,"Norfolk VA
 (36.84682012200045 76.28505728799968)"
"3713","Fall River MA",2014,29,15,"",10,"",5,"",NA,"",NA,"",NA,"",NA,"Fall River MA
 (41.69735122300045 71.14364572399967)"
"3714","Tulsa OK",2014,29,145,"",93,"",32,"",9,"",7,"",4,"",13,"Tulsa OK
 (36.149743157000444 95.99332745899966)"
"3715","Providence RI",2014,29,84,"",61,"",16,"",2,"",4,"",1,"",6,"Providence RI
 (41.823872836000476 71.41198998599964)"
"3716","Pasadena CA",2014,29,29,"",20,"",8,"",1,"",NA,"",NA,"",2,"Pasadena CA
 (34.14745120700047 118.14426554199969)"
"3717","Trenton NJ",2014,29,17,"",10,"",3,"",2,"",2,"",NA,"",NA,"Trenton NJ
 (40.21788039500046 74.75939751899966)"
"3718","Camden NJ",2014,29,17,"",12,"",3,"",1,"",1,"",NA,"",2,"Camden NJ
 (39.94525309400046 75.11912817799964)"
"3719","Toledo OH",2014,29,105,"",62,"",31,"",9,"",NA,"",3,"",3,"Toledo OH
 (41.65381070900048 83.53625660699964)"
"3720","Albuquerque NM",2014,29,100,"",64,"",28,"",7,"",NA,"",1,"",9,"Albuquerque NM
 (35.08423100300047 106.64904746099967)"
"3721","Little Rock AR",2014,29,48,"",30,"",10,"",4,"",4,"",NA,"",1,"Little Rock AR
 (34.74865329300047 92.27448794899965)"
"3722","Canton OH",2014,29,34,"",19,"",13,"",1,"",NA,"",1,"",5,"Canton OH
 (40.79781020000047 81.37156644799967)"
"3723","Chicago IL",2014,29,279,"",179,"",72,"",13,"",13,"",2,"",15,"Chicago IL
 (41.88425074000048 87.63244574499964)"
"3724","Gary IN",2014,29,15,"",6,"",5,"",NA,"",3,"",1,"",1,"Gary IN
 (41.6037138850005 87.33716612199964)"
"3725","New Haven CT",2014,29,50,"",27,"",16,"",4,"",3,"",NA,"",3,"New Haven CT
 (41.307621422000466 72.92461752399964)"
"3726","Washington D.C.",2014,29,98,"",59,"",25,"",6,"",3,"",5,"",3,"Washington D.C.
 (38.89037038100048 77.03195864199967)"
"3727","Des Moines IA",2014,29,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"Des Moines IA
 (41.589761626000495 93.61564652299967)"
"3728","Buffalo NY",2014,29,95,"",59,"",26,"",4,"",4,"",2,"",5,"Buffalo NY
 (42.88544137700046 78.87845781999965)"
"3729","Mobile AL",2014,29,69,"",43,"",20,"",6,"",NA,"",NA,"",3,"Mobile AL
 (30.68639351000047 88.05323763099966)"
"3730","Lexington KY",2014,29,66,"",40,"",16,"",7,"",NA,"",3,"",NA,"Lexington KY
 (38.04859009900048 84.50031565799964)"
